Symptom 1,Symptom 2,Symptom 3,Disease
Abdominal pain,Belly pain,Nausea,Gastroenteritis
Fever,Cough,Difficulty breathing,Pneumonia
Joint pain,Fatigue,Muscle weakness,Rheumatoid Arthritis
Chest pain,Fast heart rate,Shortness of breath,Heart Attack
Bladder discomfort,Painful urination,Foul smell of urine,Urinary Tract Infection (UTI)
Acne,Blackheads,Oily skin,Acne Vulgaris
Depression,Irritability,Appetite loss,Major Depressive Disorder
Abdominal pain,Diarrhea,Vomiting,Food Poisoning
Fatigue,Fever,Sweating,Tuberculosis
Headache,Nausea,Sensitivity to light,Migraine
Back pain,Leg pain,Weakness,Sciatica
Ear pain,Sore throat,Swollen lymph nodes,Tonsillitis
Weight gain,Cold intolerance,Constipation,Hypothyroidism
Rash,Itching,Swelling,Allergic Reaction
Abnormal heart rhythm,Dizziness,Fainting,Arrhythmia
Dry mouth,Increased thirst,Frequent urination,Diabetes
Knee pain,Swelling,Stiffness,Osteoarthritis
Vomiting,Abdominal cramps,Bloating,Gastroenteritis
Persistent cough,Chest tightness,Wheezing,Asthma
Fatigue,Hair loss,Sensitivity to cold,Hypothyroidism
Weakness,Pale skin,Shortness of breath,Anemia
Nausea,Vomiting,Abdominal swelling,Pancreatitis
Painful joints,Skin rash,Sun sensitivity,Lupus
Loss of appetite,Fatigue,Weight loss,Cancer
Frequent urination,Increased thirst,Blurred vision,Diabetes
Fever,Red skin,Pus discharge,Cellulitis
Nausea,Vomiting,Severe headache,Meningitis
Redness of eyes,Watery discharge,Itching,Conjunctivitis (Pink Eye)
Hoarseness,Difficulty swallowing,Neck swelling,Thyroid Disease
Nausea,Vomiting,Abdominal swelling,Pancreatitis
Leg pain,Back pain,Weakness,Sciatica
Diarrhea,Abdominal pain,Vomiting,Food Poisoning
Abdominal cramps,Vomiting,Bloating,Gastroenteritis
Difficulty swallowing,Hoarseness,Neck swelling,Thyroid Disease
Irritability,Depression,Appetite loss,Major Depressive Disorder
Difficulty swallowing,Neck swelling,Acne,Thyroid Disease
Severe headache,Weight gain,Nausea,Meningitis
Itching,Swelling,Rash,Allergic Reaction
Shortness of breath,Pale skin,Back pain,Anemia
Ear pain,Stiffness,Knee pain,Osteoarthritis
Swelling,Stiffness,Acne,Osteoarthritis
Vomiting,Abdominal swelling,Nausea,Pancreatitis
Blackheads,Acne,Ear pain,Acne Vulgaris
Bloating,Abdominal cramps,Vomiting,Gastroenteritis
Weakness,Shortness of breath,Pale skin,Anemia
Nausea,Cold intolerance,Weight gain,Hypothyroidism
Nausea,Belly pain,Back pain,Gastroenteritis
Appetite loss,Irritability,Depression,Major Depressive Disorder
Acne,Fever,Cough,Pneumonia
Vomiting,Severe headache,Chest pain,Meningitis
Abnormal heart rhythm,Fainting,Dizziness,Arrhythmia
Increased thirst,Dry mouth,Frequent urination,Diabetes
Dry mouth,Increased thirst,Frequent urination,Diabetes
Back pain,Leg pain,Weakness,Sciatica
Ear pain,Painful joints,Sore throat,Tonsillitis
Constipation,Cold intolerance,Weight gain,Hypothyroidism
Weight gain,Redness of eyes,Constipation,Hypothyroidism
Back pain,Weakness,Leg pain,Sciatica
Abdominal pain,Belly pain,Nausea,Gastroenteritis
Nausea,Abdominal swelling,Vomiting,Pancreatitis
Stiffness,Swelling,Knee pain,Osteoarthritis
Belly pain,Nausea,Abdominal pain,Gastroenteritis
Frequent urination,Joint pain,Muscle weakness,Rheumatoid Arthritis
Vomiting,Nausea,Abdominal swelling,Pancreatitis
Nausea,Sensitivity to light,Headache,Migraine
Joint pain,Muscle weakness,Fatigue,Rheumatoid Arthritis
Appetite loss,Irritability,Depression,Major Depressive Disorder
Difficulty swallowing,Hoarseness,Nausea,Thyroid Disease
Oily skin,Acne,Blackheads,Acne Vulgaris
Oily skin,Acne,Blackheads,Acne Vulgaris
Frequent urination,Dry mouth,Increased thirst,Diabetes
Chest pain,Fast heart rate,Shortness of breath,Heart Attack
Sensitivity to light,Nausea,Headache,Migraine
Cold intolerance,Constipation,Weight gain,Hypothyroidism
Fever,Sweating,Fatigue,Tuberculosis
Vomiting,Severe headache,Nausea,Meningitis
Weakness,Leg pain,Back pain,Sciatica
Knee pain,Stiffness,Swelling,Osteoarthritis
Fatigue,Bladder discomfort,Loss of appetite,Cancer
Severe headache,Nausea,Vomiting,Meningitis
Redness of eyes,Dizziness,Fainting,Arrhythmia
Fever,Difficulty breathing,Abnormal heart rhythm,Pneumonia
Nausea,Vomiting,Severe headache,Meningitis
Vomiting,Abdominal pain,Diarrhea,Food Poisoning
Weakness,Nausea,Leg pain,Sciatica
Sensitivity to cold,Hair loss,Fatigue,Hypothyroidism
Hair loss,Fatigue,Sensitivity to cold,Hypothyroidism
Frequent urination,Fatigue,Increased thirst,Diabetes
Weakness,Leg pain,Back pain,Sciatica
Abdominal pain,Painful joints,Sun sensitivity,Lupus
Nausea,Severe headache,Abnormal heart rhythm,Meningitis
Wheezing,Persistent cough,Chest tightness,Asthma
Acne,Blackheads,Oily skin,Acne Vulgaris
Pus discharge,Fever,Red skin,Cellulitis
Swelling,Knee pain,Stiffness,Osteoarthritis
Hair loss,Fatigue,Joint pain,Hypothyroidism
Vomiting,Bloating,Dry mouth,Gastroenteritis
Fatigue,Nausea,Hair loss,Hypothyroidism
Ear pain,Difficulty breathing,Fever,Pneumonia
Sore throat,Ear pain,Swollen lymph nodes,Tonsillitis
Abdominal swelling,Vomiting,Nausea,Pancreatitis
Acne,Oily skin,Blackheads,Acne Vulgaris
Swollen lymph nodes,Ear pain,Sore throat,Tonsillitis
Shortness of breath,Weakness,Pale skin,Anemia
Vomiting,Bloating,Abdominal cramps,Gastroenteritis
Stiffness,Swelling,Knee pain,Osteoarthritis
Increased thirst,Frequent urination,Dry mouth,Diabetes
Increased thirst,Frequent urination,Dry mouth,Diabetes
Swelling,Rash,Itching,Allergic Reaction
Itching,Watery discharge,Redness of eyes,Conjunctivitis (Pink Eye)
Abnormal heart rhythm,Fainting,Dizziness,Arrhythmia
Hair loss,Fatigue,Sensitivity to cold,Hypothyroidism
Depression,Irritability,Appetite loss,Major Depressive Disorder
Frequent urination,Dry mouth,Abdominal pain,Diabetes
Skin rash,Sun sensitivity,Painful joints,Lupus
Irritability,Appetite loss,Depression,Major Depressive Disorder
Shortness of breath,Weakness,Pale skin,Anemia
Fever,Pus discharge,Red skin,Cellulitis
Dizziness,Abnormal heart rhythm,Fainting,Arrhythmia
Vomiting,Abdominal pain,Fever,Food Poisoning
Abdominal pain,Nausea,Belly pain,Gastroenteritis
Wheezing,Persistent cough,Chest tightness,Asthma
Pale skin,Shortness of breath,Weakness,Anemia
Fainting,Dizziness,Abnormal heart rhythm,Arrhythmia
Hoarseness,Neck swelling,Difficulty swallowing,Thyroid Disease
Persistent cough,Rash,Itching,Allergic Reaction
Frequent urination,Abdominal pain,Increased thirst,Diabetes
Fainting,Abnormal heart rhythm,Dizziness,Arrhythmia
